day	zone	timeslot	price
2025-01-07	LV	20250107-0700	94.690000
2025-01-07	LV	20250107-0800	94.290000
2025-01-07	LV	20250107-0900	92.840000
2025-01-07	LV	20250107-1000	92.330000
2025-01-07	LV	20250107-1100	92.970000
2025-01-07	LV	20250107-1200	94.900000
2025-01-07	LV	20250107-1300	97.550000
2025-01-07	LV	20250107-1400	98.480000
2025-01-07	LV	20250107-1500	101.450000
2025-01-07	LV	20250107-1600	96.140000
2025-01-07	LV	20250107-1700	80.330000
2025-01-07	LV	20250107-1800	83.840000
2025-01-07	LV	20250107-1900	83.850000
2025-01-07	LV	20250107-2000	73.840000
2025-01-07	LV	20250107-2100	52.580000
2025-01-07	LV	20250107-2200	46.180000
2025-01-07	LV	20250107-2300	26.730000
2025-01-07	NL	20250107-0000	12.030000
2025-01-07	NL	20250107-0100	23.750000
2025-01-07	NL	20250107-0200	6.720000
2025-01-07	NL	20250107-0300	13.160000
2025-01-07	NL	20250107-0400	31.250000
2025-01-07	NL	20250107-0500	73.840000
2025-01-07	NL	20250107-0600	95.200000
2025-01-07	NL	20250107-0700	95.200000
2025-01-07	NL	20250107-0800	95.200000
2025-01-07	NL	20250107-0900	95.200000
2025-01-07	NL	20250107-1000	95.200000
2025-01-07	NL	20250107-1100	95.200000
2025-01-07	NL	20250107-1200	95.200000
2025-01-07	NL	20250107-1300	95.200000
2025-01-07	NL	20250107-1400	95.200000
2025-01-07	NL	20250107-1500	95.200000
2025-01-07	NL	20250107-1600	104.580000
2025-01-07	NL	20250107-1700	95.200000
2025-01-07	NL	20250107-1800	95.200000
2025-01-07	NL	20250107-1900	95.200000
2025-01-07	NL	20250107-2000	95.200000
2025-01-07	NL	20250107-2100	95.200000
2025-01-07	NL	20250107-2200	73.840000
2025-01-07	NL	20250107-2300	60.210000
2025-01-07	NO1	20250107-0000	14.350000
2025-01-07	NO1	20250107-0100	15.260000
2025-01-07	NO1	20250107-0200	7.260000
2025-01-07	NO1	20250107-0300	15.860000
2025-01-07	NO1	20250107-0400	16.790000
2025-01-07	NO1	20250107-0500	56.740000
2025-01-07	NO1	20250107-0600	75.600000
