mode	day	zone	timeslot	price
5z	2026-01-15	BG	20260115-1400	371.350000
5z	2026-01-15	BG	20260115-1500	3000.000000
5z	2026-01-15	BG	20260115-1600	3000.000000
5z	2026-01-15	BG	20260115-1700	3000.000000
5z	2026-01-15	BG	20260115-1800	3000.000000
5z	2026-01-15	BG	20260115-1900	400.310000
5z	2026-01-15	BG	20260115-2000	306.030000
5z	2026-01-15	BG	20260115-2100	235.280000
5z	2026-01-15	BG	20260115-2200	189.050000
5z	2026-01-15	BG	20260115-2300	129.460000
5z	2026-01-15	GR	20260115-0000	122.920000
5z	2026-01-15	GR	20260115-0100	105.110000
5z	2026-01-15	GR	20260115-0200	103.680000
5z	2026-01-15	GR	20260115-0300	105.200000
5z	2026-01-15	GR	20260115-0400	132.530000
5z	2026-01-15	GR	20260115-0500	139.760000
5z	2026-01-15	GR	20260115-0600	144.040000
5z	2026-01-15	GR	20260115-0700	123.620000
5z	2026-01-15	GR	20260115-0800	87.080000
5z	2026-01-15	GR	20260115-0900	82.440000
5z	2026-01-15	GR	20260115-1000	77.910000
5z	2026-01-15	GR	20260115-1100	51.660000
5z	2026-01-15	GR	20260115-1200	87.080000
5z	2026-01-15	GR	20260115-1300	87.080000
5z	2026-01-15	GR	20260115-1400	136.920000
5z	2026-01-15	GR	20260115-1500	194.310000
5z	2026-01-15	GR	20260115-1600	355.900000
5z	2026-01-15	GR	20260115-1700	317.480000
5z	2026-01-15	GR	20260115-1800	303.160000
5z	2026-01-15	GR	20260115-1900	250.000000
5z	2026-01-15	GR	20260115-2000	186.400000
5z	2026-01-15	GR	20260115-2100	190.170000
5z	2026-01-15	GR	20260115-2200	143.280000
5z	2026-01-15	GR	20260115-2300	129.460000
5z	2026-01-15	HU	20260115-0000	87.080000
5z	2026-01-15	HU	20260115-0100	87.080000
5z	2026-01-15	HU	20260115-0200	87.080000
5z	2026-01-15	HU	20260115-0300	87.080000
5z	2026-01-15	HU	20260115-0400	87.080000
5z	2026-01-15	HU	20260115-0500	87.080000
5z	2026-01-15	HU	20260115-0600	87.080000
5z	2026-01-15	HU	20260115-0700	87.080000
5z	2026-01-15	HU	20260115-0800	87.080000
5z	2026-01-15	HU	20260115-0900	87.080000
5z	2026-01-15	HU	20260115-1000	87.080000
5z	2026-01-15	HU	20260115-1100	87.080000
5z	2026-01-15	HU	20260115-1200	114.340000
5z	2026-01-15	HU	20260115-1300	110.300000
5z	2026-01-15	HU	20260115-1400	126.620000
5z	2026-01-15	HU	20260115-1500	159.570000
5z	2026-01-15	HU	20260115-1600	126.620000
5z	2026-01-15	HU	20260115-1700	126.620000
5z	2026-01-15	HU	20260115-1800	126.620000
5z	2026-01-15	HU	20260115-1900	110.300000
5z	2026-01-15	HU	20260115-2000	105.380000
5z	2026-01-15	HU	20260115-2100	110.300000
5z	2026-01-15	HU	20260115-2200	87.080000
5z	2026-01-15	HU	20260115-2300	87.080000
5z	2026-01-15	RO	20260115-0000	122.920000
5z	2026-01-15	RO	20260115-0100	121.980000
5z	2026-01-15	RO	20260115-0200	126.620000
5z	2026-01-15	RO	20260115-0300	126.620000
5z	2026-01-15	RO	20260115-0400	136.950000
5z	2026-01-15	RO	20260115-0500	278.290000
5z	2026-01-15	RO	20260115-0600	3000.000000
5z	2026-01-15	RO	20260115-0700	586.340000
5z	2026-01-15	RO	20260115-0800	316.510000
5z	2026-01-15	RO	20260115-0900	305.960000
5z	2026-01-15	RO	20260115-1000	150.070000
5z	2026-01-15	RO	20260115-1100	215.380000
5z	2026-01-15	RO	20260115-1200	317.550000
5z	2026-01-15	RO	20260115-1300	262.100000
5z	2026-01-15	RO	20260115-1400	371.350000
5z	2026-01-15	RO	20260115-1500	3000.000000
5z	2026-01-15	RO	20260115-1600	3000.000000
5z	2026-01-15	RO	20260115-1700	3000.000000
5z	2026-01-15	RO	20260115-1800	3000.000000
5z	2026-01-15	RO	20260115-1900	400.310000
5z	2026-01-15	RO	20260115-2000	306.030000
5z	2026-01-15	RO	20260115-2100	235.280000
5z	2026-01-15	RO	20260115-2200	189.050000
5z	2026-01-15	RO	20260115-2300	129.460000
5z	2026-01-15	RS	20260115-0000	126.620000
5z	2026-01-15	RS	20260115-0100	126.620000
5z	2026-01-15	RS	20260115-0200	126.620000
5z	2026-01-15	RS	20260115-0300	126.620000
5z	2026-01-15	RS	20260115-0400	126.620000
5z	2026-01-15	RS	20260115-0500	126.620000
5z	2026-01-15	RS	20260115-0600	250.850000
5z	2026-01-15	RS	20260115-0700	321.530000
5z	2026-01-15	RS	20260115-0800	350.160000
5z	2026-01-15	RS	20260115-0900	316.060000
5z	2026-01-15	RS	20260115-1000	291.930000
5z	2026-01-15	RS	20260115-1100	268.470000
5z	2026-01-15	RS	20260115-1200	248.930000
5z	2026-01-15	RS	20260115-1300	224.360000
5z	2026-01-15	RS	20260115-1400	217.650000
5z	2026-01-15	RS	20260115-1500	264.700000
5z	2026-01-15	RS	20260115-1600	358.340000
5z	2026-01-15	RS	20260115-1700	348.850000
5z	2026-01-15	RS	20260115-1800	345.750000
5z	2026-01-15	RS	20260115-1900	300.610000
5z	2026-01-15	RS	20260115-2000	240.760000
5z	2026-01-15	RS	20260115-2100	205.230000
5z	2026-01-15	RS	20260115-2200	193.670000
5z	2026-01-15	RS	20260115-2300	182.240000
1z	2026-03-03	GR	20260303-0630	163.920000
1z	2026-03-03	GR	20260303-0030	166.910000
1z	2026-03-03	GR	20260303-2000	179.620000
1z	2026-03-03	GR	20260303-1945	177.360000
1z	2026-03-03	GR	20260303-0545	172.340000
1z	2026-03-03	GR	20260303-1430	101.860000
1z	2026-03-03	GR	20260303-1745	281.810000
1z	2026-03-03	GR	20260303-0345	167.980000
1z	2026-03-03	GR	20260303-1715	274.210000
1z	2026-03-03	GR	20260303-1815	296.570000
1z	2026-03-03	GR	20260303-1545	175.480000
1z	2026-03-03	GR	20260303-1230	5.360000
1z	2026-03-03	GR	20260303-0145	164.920000
1z	2026-03-03	GR	20260303-0245	165.960000
1z	2026-03-03	GR	20260303-1045	5.360000
1z	2026-03-03	GR	20260303-0815	101.860000
1z	2026-03-03	GR	20260303-2245	171.390000
1z	2026-03-03	GR	20260303-0600	174.280000
1z	2026-03-03	GR	20260303-0915	67.220000
1z	2026-03-03	GR	20260303-1330	67.220000
1z	2026-03-03	GR	20260303-1145	5.360000
1z	2026-03-03	GR	20260303-1530	169.000000
1z	2026-03-03	GR	20260303-2345	167.030000
1z	2026-03-03	GR	20260303-1100	5.360000
1z	2026-03-03	GR	20260303-1000	5.360000
1z	2026-03-03	GR	20260303-1630	250.000000
1z	2026-03-03	GR	20260303-2315	168.320000
1z	2026-03-03	GR	20260303-1730	280.710000
1z	2026-03-03	GR	20260303-0415	170.470000
1z	2026-03-03	GR	20260303-0515	176.220000
1z	2026-03-03	GR	20260303-0730	101.860000
1z	2026-03-03	GR	20260303-1030	5.360000
1z	2026-03-03	GR	20260303-1400	101.860000
1z	2026-03-03	GR	20260303-0115	165.640000
1z	2026-03-03	GR	20260303-1645	273.590000
1z	2026-03-03	GR	20260303-2115	176.450000
1z	2026-03-03	GR	20260303-1700	264.710000
1z	2026-03-03	GR	20260303-0230	165.670000
1z	2026-03-03	GR	20260303-2230	173.400000
1z	2026-03-03	GR	20260303-0645	145.290000
1z	2026-03-03	GR	20260303-0215	165.670000
1z	2026-03-03	GR	20260303-1600	174.880000
1z	2026-03-03	GR	20260303-1115	5.360000
1z	2026-03-03	GR	20260303-0715	101.860000
1z	2026-03-03	GR	20260303-0200	165.670000
1z	2026-03-03	GR	20260303-1415	101.860000
1z	2026-03-03	GR	20260303-0445	175.930000
1z	2026-03-03	GR	20260303-0700	131.610000
1z	2026-03-03	GR	20260303-2145	172.850000
1z	2026-03-03	GR	20260303-1900	261.250000
1z	2026-03-03	GR	20260303-1300	67.220000
1z	2026-03-03	GR	20260303-0615	169.390000
1z	2026-03-03	GR	20260303-1130	5.360000
1z	2026-03-03	GR	20260303-2300	168.610000
1z	2026-03-03	GR	20260303-1215	5.360000
1z	2026-03-03	GR	20260303-1615	179.050000
1z	2026-03-03	GR	20260303-1245	5.360000
1z	2026-03-03	GR	20260303-1845	278.670000
1z	2026-03-03	GR	20260303-1930	179.230000
1z	2026-03-03	GR	20260303-0315	165.820000
1z	2026-03-03	GR	20260303-0400	168.450000
1z	2026-03-03	GR	20260303-0530	175.070000
1z	2026-03-03	GR	20260303-0500	175.210000
1z	2026-03-03	GR	20260303-1915	249.210000
1z	2026-03-03	GR	20260303-0300	165.240000
1z	2026-03-03	GR	20260303-0930	5.360000
1z	2026-03-03	GR	20260303-0830	67.220000
1z	2026-03-03	GR	20260303-1315	67.220000
1z	2026-03-03	GR	20260303-1800	297.730000
1z	2026-03-03	GR	20260303-1830	288.620000
1z	2026-03-03	GR	20260303-1445	102.330000
1z	2026-03-03	GR	20260303-0000	167.920000
1z	2026-03-03	GR	20260303-2100	178.320000
1z	2026-03-03	GR	20260303-2215	175.270000
1z	2026-03-03	GR	20260303-1345	67.720000
1z	2026-03-03	GR	20260303-0015	167.490000
1z	2026-03-03	GR	20260303-1015	5.360000
1z	2026-03-03	GR	20260303-2045	173.720000
1z	2026-03-03	GR	20260303-2330	167.890000
1z	2026-03-03	GR	20260303-1515	161.800000
1z	2026-03-03	GR	20260303-0045	166.480000
1z	2026-03-03	GR	20260303-0900	67.220000
1z	2026-03-03	GR	20260303-2200	176.860000
1z	2026-03-03	GR	20260303-0845	67.220000
1z	2026-03-03	GR	20260303-1500	137.410000
1z	2026-03-03	GR	20260303-2030	175.740000
1z	2026-03-03	GR	20260303-0945	5.360000
1z	2026-03-03	GR	20260303-0430	173.200000
1z	2026-03-03	GR	20260303-2130	174.570000
1z	2026-03-03	GR	20260303-0745	101.860000
1z	2026-03-03	GR	20260303-1200	5.360000
1z	2026-03-03	GR	20260303-0330	166.820000
1z	2026-03-03	GR	20260303-0800	101.860000
1z	2026-03-03	GR	20260303-0100	166.080000
1z	2026-03-03	GR	20260303-0130	165.210000
1z	2026-03-03	GR	20260303-2015	177.610000
1z	2026-03-03	BG	20260303-1800	179.780000
1z	2026-03-03	BG	20260303-2100	91.730000
1z	2026-03-03	BG	20260303-0000	67.720000
1z	2026-03-03	BG	20260303-0200	67.720000
