zone	timeslot	price
SK	20260301-1800	84.35
SK	20260301-0300	72.12
SK	20260301-1300	61.71
SK	20260301-0000	61.71
SK	20260301-0600	72.12
SK	20260301-0200	64.44
SK	20260301-0900	64.43
SK	20260301-1400	72.12
EE	20260301-0500	39.66
EE	20260301-1200	57
EE	20260301-1500	56.4
EE	20260301-0400	39.66
EE	20260301-0800	39.66
EE	20260301-1900	61.91
EE	20260301-0100	56.4
EE	20260301-1100	44.35
EE	20260301-2100	54.89
EE	20260301-1700	57
EE	20260301-1600	57
EE	20260301-0700	39.66
EE	20260301-2000	57
EE	20260301-2200	44.35
EE	20260301-2300	44.35
EE	20260301-1000	39.66
EE	20260301-1800	70.78
EE	20260301-0300	39.66
EE	20260301-1300	57
EE	20260301-0000	44.35
EE	20260301-0600	39.66
EE	20260301-0200	44.35
EE	20260301-0900	39.66
EE	20260301-1400	57
SE4	20260301-0500	11
