zone	rule	period	n_hours	mae_mw	median_ae_mw
SE3	v3	jul26	504	507.6110874957979	455.2862898125003
SE3	v3	jul26_evening	84	480.30985809162405	401.3301312499998
SE4	v2	all	18024	276.53926735568484	224.69859643749996
SE4	v2	evening	3004	268.0361954426063	209.77875000000012
SE4	v2	jul26	504	307.06258774764746	263.2382295000001
SE4	v2	jul26_evening	84	378.9147615092262	332.82445062500005
SE4	rec3	all	18024	269.72930220473137	226.87182956249995
SE4	rec3	evening	3004	258.11594557072056	215.17958274999995
SE4	rec3	jul26	504	251.61338500017717	203.13192062500008
SE4	rec3	jul26_evening	84	264.4757066264881	229.83353225000013
SE4	d2	all	18024	260.77151431562294	207.22491300000002
SE4	d2	evening	3004	250.83486342087215	191.86750000000006
SE4	d2	jul26	504	255.80224227881948	201.69898537499998
SE4	d2	jul26_evening	84	265.5050396044643	202.4137655
SE4	ana8	all	18024	230.011746662838	195.2226637187499
SE4	ana8	evening	3004	223.25030864695643	187.99050728124996
SE4	ana8	jul26	504	233.90816285159792	199.35825115625
SE4	ana8	jul26_evening	84	250.69757541145833	228.0750447499999
SE4	ana8b	all	18024	228.36532544145015	192.87279715624982
SE4	ana8b	evening	3004	223.4516405820296	182.44651543750007
SE4	ana8b	jul26	504	246.6445752436774	194.96999095312503
SE4	ana8b	jul26_evening	84	296.5016535700893	245.06481940624997
SE4	ana16	all	18024	232.65656655621183	201.63097674999995
SE4	ana16	evening	3004	233.29398163093612	201.17855865624995
SE4	ana16	jul26	504	223.68078218563986	188.51894778125006
SE4	ana16	jul26_evening	84	235.55804167410722	188.16106021874998
SE4	ana16b	all	18024	229.3905395154465	193.48618890624994
SE4	ana16b	evening	3004	224.09496614506014	184.05093750000015
SE4	ana16b	jul26	504	248.12299981715208	192.67837385937491
SE4	ana16b	jul26_evening	84	300.59142476130955	236.2613489062501
SE4	ana8w	all	18024	234.93863602243718	200.8619864374997
SE4	ana8w	evening	3004	228.5285535864704	193.4512482499997
SE4	ana8w	jul26	504	220.46743311842755	162.5066775624999
SE4	ana8w	jul26_evening	84	229.23829797619047	175.38641415625017
