zone	cp	rule	n_days	mae_mw
DK2	DK1	ana16b	751	134.0495138092329
DK2	SE4	ana16b	751	173.46453203733913
DK2	DE_LU	v3	751	208.5358423490901
DK2	DK1	v3	751	160.34021847379438
DK2	SE4	v3	751	202.64278076717846
EE	FI	v2	751	113.3632280327619
EE	LV	v2	751	109.11551863928901
EE	RU	v2	299	49.529365245261985
EE	FI	rec3	751	102.27070015257435
EE	LV	rec3	751	109.75310320374328
EE	RU	rec3	299	40.97144648829431
EE	FI	ana8	751	154.87810772664227
EE	LV	ana8	751	128.68359640593394
EE	RU	ana8	299	59.96190774804905
EE	FI	ana8b	751	122.31982038032623
EE	LV	ana8b	751	111.30713479058006
EE	RU	ana8b	299	50.44332323021182
EE	FI	ana16	751	153.54867271637815
EE	LV	ana16	751	126.81216032444225
EE	RU	ana16	299	57.79967251950947
EE	FI	ana16b	751	122.12162425363405
EE	LV	ana16b	751	110.71571430697804
EE	RU	ana16b	299	49.83604549888517
EE	FI	v3	751	113.3632280327619
EE	LV	v3	751	110.71571430697804
EE	RU	v3	299	49.83604549888517
ES	FR	v2	751	692.5642309559476
ES	PT	v2	751	467.72999278739456
ES	FR	rec3	751	725.7250635957612
ES	PT	rec3	751	460.8224041555703
ES	FR	ana8	751	732.8324406693853
ES	PT	ana8	751	481.1042555758988
ES	FR	ana8b	751	671.2377393856801
ES	PT	ana8b	751	442.995981954616
ES	FR	ana16	751	725.6493312735797
ES	PT	ana16	751	475.6222945100976
ES	FR	ana16b	751	667.782168202813
ES	PT	ana16b	751	441.8634477294163
ES	FR	v3	751	667.782168202813
ES	PT	v3	751	441.8634477294163
FI	EE	v2	751	113.3632280327619
FI	NO4	v2	751	18.667900611434753
FI	RU	v2	751	0.0
FI	SE1	v2	751	308.1143867348258
FI	SE3	v2	751	324.9752174043914
FI	EE	rec3	751	102.27070015257435
FI	NO4	rec3	751	17.121272411624776
FI	RU	rec3	751	0.0
FI	SE1	rec3	751	278.37146932091935
FI	SE3	rec3	751	309.4891674874889
FI	EE	ana8	751	147.63373390472424
FI	NO4	ana8	751	16.52140042788088
FI	RU	ana8	751	0.0
FI	SE1	ana8	751	265.64228776808005
FI	SE3	ana8	751	293.3902854442514
FI	EE	ana8b	751	118.76821432315941
FI	NO4	ana8b	751	16.19204704896596
FI	RU	ana8b	751	0.0
FI	SE1	ana8b	751	263.4510787622441
FI	SE3	ana8b	751	283.59616272251407
FI	EE	ana16	751	150.8699274742704
FI	NO4	ana16	751	16.202541335781458
FI	RU	ana16	751	0.0
FI	SE1	ana16	751	257.5601406478064
FI	SE3	ana16	751	286.1560828248204
