day,arm,zone,ts,price
2025-07-15,B_on,DE_LU,20250715-1500,91.19
2025-07-15,B_on,DE_LU,20250715-0600,92.71
2025-07-15,B_on,DE_LU,20250715-1400,86.63
2025-07-15,B_on,DE_LU,20250715-0700,92.71
2025-07-15,B_on,DE_LU,20250715-2300,92.71
2025-07-15,B_on,DE_LU,20250715-1000,86.63
2025-07-15,B_on,DE_LU,20250715-1300,67.06
2025-07-15,B_on,DE_LU,20250715-1100,78.48
2025-07-15,B_on,DE_LU,20250715-0800,90.17
2025-07-15,B_on,DE_LU,20250715-2100,103.69
2025-07-15,B_on,DE_LU,20250715-0200,92.71
2025-07-15,B_on,DE_LU,20250715-2200,102.21
2025-07-15,B_on,DE_LU,20250715-0500,101.02
2025-07-15,B_on,DE_LU,20250715-1600,92.71
2025-07-15,B_on,DE_LU,20250715-0400,103.69
2025-07-15,B_on,DE_LU,20250715-0300,92.71
2025-07-15,B_on,DE_LU,20250715-1800,103.69
2025-07-15,B_on,DE_LU,20250715-0900,86.63
2025-07-15,B_on,DE_LU,20250715-0100,92.71
2025-07-15,B_on,DE_LU,20250715-1900,123.95
2025-07-15,B_on,DK1,20250715-1700,103.69
2025-07-15,B_on,DK1,20250715-2000,103.69
2025-07-15,B_on,DK1,20250715-1200,63.0
2025-07-15,B_on,DK1,20250715-0000,92.71
2025-07-15,B_on,DK1,20250715-1500,91.19
2025-07-15,B_on,DK1,20250715-0600,92.71
2025-07-15,B_on,DK1,20250715-1400,86.63
2025-07-15,B_on,DK1,20250715-0700,92.71
2025-07-15,B_on,DK1,20250715-2300,92.71
2025-07-15,B_on,DK1,20250715-1000,86.63
2025-07-15,B_on,DK1,20250715-1300,67.06
2025-07-15,B_on,DK1,20250715-1100,78.48
2025-07-15,B_on,DK1,20250715-0800,90.17
2025-07-15,B_on,DK1,20250715-2100,103.69
2025-07-15,B_on,DK1,20250715-0200,92.71
2025-07-15,B_on,DK1,20250715-2200,102.21
2025-07-15,B_on,DK1,20250715-0500,101.02
2025-07-15,B_on,DK1,20250715-1600,92.71
2025-07-15,B_on,DK1,20250715-0400,103.69
2025-07-15,B_on,DK1,20250715-0300,92.71
2025-07-15,B_on,DK1,20250715-1800,103.69
2025-07-15,B_on,DK1,20250715-0900,86.63
2025-07-15,B_on,DK1,20250715-0100,92.71
2025-07-15,B_on,DK1,20250715-1900,123.95
2025-07-15,B_on,NO2,20250715-1700,91.19
2025-07-15,B_on,NO2,20250715-2000,91.19
