day,arm,zone,ts,price
2025-05-01,B_on,DK1,20250501-0600,79.9
2025-05-01,B_on,DK1,20250501-1400,71.91
2025-05-01,B_on,DK1,20250501-1600,89.5
2025-05-01,B_on,NO2,20250501-1700,82.76
2025-05-01,B_on,NO2,20250501-1200,2.56
2025-05-01,B_on,NO2,20250501-0500,80.55
2025-05-01,B_on,NO2,20250501-2200,80.55
2025-05-01,B_on,NO2,20250501-2100,80.55
2025-05-01,B_on,NO2,20250501-1000,3.38
2025-05-01,B_on,NO2,20250501-1800,84.11
2025-05-01,B_on,NO2,20250501-2000,80.55
2025-05-01,B_on,NO2,20250501-1500,59.84
2025-05-01,B_on,NO2,20250501-1300,2.84
